cluster1,cluster2
0.16105147,0.067645416
-0.088884264,-0.106250286
0.053517357,0.24704856
0.06270955,-0.019547604
0.13756509,0.1886489
-0.120753035,-0.07642129
0.04446453,-0.033390824
0.021909725,-0.009742327
0.0072262716,-0.04127994
-0.09744218,-0.03474102
-0.026246447,-0.07062449
-0.14304912,-0.20544532
0.027106117,-0.055211693
0.23959312,0.34825274
-0.19089516,-0.09457159
0.16271584,0.27117655
-0.06753425,-0.0112665305
0.018604858,-0.015672812
0.030613415,-0.113679
0.03469541,0.14985073
0.17058071,0.25470912
-0.15821546,-0.06827749
0.111034006,0.14606449
0.1872899,0.3410506
0.049120985,0.04545676
0.039339248,-0.02733692
-0.07043469,0.088860065
0.055724744,0.078717805
-0.13218866,-0.07089037
-0.11642583,0.08820297
0.10528336,0.21486083
0.045136135,0.026641063
-0.08443183,-0.04140696
-0.086760156,-0.24465053
9.760261e-07,0.093803346
-0.12811726,0.03209683
-0.024386324,-0.048662096
-0.027999496,-0.03780054
-0.19957444,-0.032637954
-0.045508415,0.05096797
-0.23656806,-0.21820146
-0.20402779,-0.3835494
0.034249842,-0.062251754
0.05157167,0.08860441
0.042346794,0.00026750006
-0.13158795,-0.059104443
-0.16475996,-0.10561554
0.02720912,0.052976996
-0.11639069,0.10582809
-0.043710537,-0.06887199
-0.2461755,-0.39467907
0.16768748,0.19805984
-0.14132789,-0.24878812
0.07846885,0.018810034
0.10295345,0.078978054
0.39942503,0.5031089
0.061366685,0.036693025
-0.20465156,-0.36558613
0.06948976,0.0074388497
-0.06380699,-0.10610748
0.059280105,-0.046271868
0.035216272,-0.17644718
0.013913028,0.010101217
-0.014067326,0.04104234
0.11925987,-0.0240619
0.025634605,0.021204684
-0.015252396,-0.0039844317
0.2761615,0.3540993
-0.37850198,-0.4664895
0.07402017,0.048410278
-0.17992231,-0.15419316
-0.13575459,-0.05437491
0.12041411,0.18602028
0.05797167,0.0649571
0.07413758,0.107754774
-0.0703699,-0.09336106
-0.19023791,-0.23754701
0.18699923,0.11148033
0.13420472,0.22235972
0.020396076,0.10675547
0.06621152,0.12943885
0.16929072,0.088281766
0.055692054,0.062291
0.28975725,0.32380173
0.1333747,0.16180003
0.04014471,-0.007411474
-0.16513829,-0.09493828
0.011609675,-0.025089953
-0.044858992,-0.2378653
0.33945242,0.33982033
-0.0022005457,0.013215592
-0.063050926,-0.062430046
0.09629659,0.05397464
0.07728093,0.08855542
0.11306276,0.029007573
-0.19839866,-0.18398102
-0.16888413,-0.27719256
0.060114987,0.03896313
0.20175874,0.035014782
0.09218296,0.2087272
0.13098353,0.16366316
-0.0429008,-0.011532925
0.055668205,0.15019122
0.23915118,0.08669163
-0.17909834,-0.27259028
-0.09798551,-0.12270278
0.018402882,-0.025224935
0.060612354,0.0041729994
-0.010782473,-0.1139437
-0.17090546,0.08064449
0.17808786,0.11515664
-0.021690922,-0.06279037
0.106899485,0.036767602
-0.20796368,-0.2204515
-0.20089342,-0.08099519
0.021554455,-0.050024375
0.092196636,0.09290293
0.10119116,0.07905486
0.10960008,0.3515188
0.045313194,0.07132805
-0.106303856,0.108530775
0.13536528,0.18449315
0.11969529,0.059853513
0.5695109,0.56090873
-0.043979526,-0.003794387
0.160337,0.12815379
-0.011379078,-0.08601423
0.15592484,0.22795567
0.10934267,-0.0010820795
-0.08713675,0.0032634996
0.036687735,0.07390958
0.28292483,0.3400946
0.14580998,0.17358607
-0.012473531,-0.16517763
-0.119046345,-0.098209284
0.06652548,-0.010382731
0.0042764097,-0.18189967
-0.032081425,-0.06883822
-0.10098985,-0.11812459
-0.074068174,-0.03130152
-0.14793397,-0.07967475
0.18347445,1.6234815e-05
-0.26024267,0.08719736
-0.10441616,0.004614586
0.10202079,0.08693487
0.09436991,0.15373522
0.04460277,-0.07077836
0.042116888,0.09609141
0.055373892,0.064891696
0.095919855,0.1085063
0.1604356,-0.05567737
0.06819434,0.016052434
-0.14251348,-0.0065425634
-0.18620571,-0.30500972
-0.15220761,0.049842555
0.043127947,0.021265693
0.07006312,0.0678236
0.0501808,0.10122422
0.01904571,-0.1826325
0.15708798,0.13702147
0.25546017,0.21342102
0.086167306,0.025814181
-0.060460284,-0.18953176
0.23017612,0.1795938
-0.0891466,0.11099669
-0.014516763,0.10796612
-0.14200126,-0.0011641718
0.10204182,0.13011971
0.02887056,-0.11397954
0.123309724,0.014684884
-0.24370342,-0.1330737
-0.31949857,-0.49366298
0.3009007,0.23435456
-0.01685914,-0.07611168
0.05470112,-0.019481122
0.09311826,-0.032496586
0.14405176,0.22523215
0.10562597,0.03392664
-0.0031734407,0.14882292
-0.009674522,0.023354512
-1.7048321,-0.94766533
0.23719311,0.21354675
0.12395016,0.049342327
0.09324505,-0.07402055
0.16154823,0.1988519
-0.071768925,0.050002992
0.17934908,0.2607016
-0.26964495,-0.16689906
0.11800374,0.006704258
-0.16790205,-0.16400081
-0.11000847,-0.16598292
-0.18028563,0.015605412
-0.16040263,-0.065899715
0.00604428,-0.06410851
0.21437493,0.16386926
-0.2858378,-0.35969475
0.059476614,0.077057615
-0.17225267,-0.22265914
-0.062331486,-0.084851354
0.004529327,0.14498226
0.037148185,0.08514306
-0.031191215,0.0069627054
0.08889574,0.15654816
0.07384543,-0.058699507
-0.29840332,-0.20707217
0.513115,0.34641564
0.172292,0.31895486
-0.18511936,-0.11782848
0.02486321,-0.050914474
0.023209494,-0.042656265
-0.24796289,-0.1948101
0.1074404,0.077762686
-0.045967136,-0.05056458
-0.14510629,0.031491227
0.0878287,0.025578987
-0.17967689,-0.18751408
0.1353898,0.2652991
-0.2047634,-0.19389293
-0.0032014996,0.24119881
-0.08779621,-0.013200166
0.05268188,-0.029966086
-0.028549273,-0.10115748
-0.1898866,-0.28464687
0.27039832,0.3293849
-0.25628015,-0.3601695
0.27456686,0.6700516
0.2266525,0.19599807
-0.039789632,-0.179393
0.17084344,0.13928394
-0.010281019,0.15076435
-0.0043445304,-0.09475492
-0.15418601,-0.2834928
0.23958394,0.16160004
-0.036157496,-0.12519002
-0.16238931,-0.098710984
0.17199945,0.29338676
-0.08935599,-0.13535765
-0.03185845,-0.0079124505
0.0595353,0.13071866
-0.13293663,-0.07791143
-0.12712981,-0.119231395
0.16103226,0.2920984
0.30773452,0.29672676
0.06541035,0.010576961
-0.06526485,-0.0021469574
-0.04318069,-0.20765448
0.1155832,0.010692695
0.1724724,0.08546168
0.0839533,0.09316632
-0.17579642,-0.1330866
-0.09540257,-0.12636639
-0.3530864,-0.17208546
0.088774264,0.12983042
-0.35060805,-0.24430574
0.0609222,-0.06027152
-0.17628977,-0.27147198
0.03944508,0.009011183
-0.081797145,-0.22051029
0.13100472,0.008486647
-0.0021865256,0.023650121
0.07220109,0.12486416
0.07261208,-0.094363056
0.463338,0.4794623
-0.028281756,-0.038210813
-0.336775,-0.30353817
-0.1968899,-0.36335486
-0.0070908107,-0.0022115167
0.12278848,0.248051
0.13555644,0.36364457
0.047419854,0.034808923
-0.049607463,-0.15996781
0.033547178,0.20366026
-0.07563628,-0.13114023
-0.44741485,0.0015043914
-0.20736378,-0.18210033
-0.24224575,-0.2176248
0.303331,0.25692335
0.11698985,0.071959645
0.014655039,0.08102469
-0.15851103,-0.15733369
-0.025054224,0.1547134
0.27849054,0.24112144
-0.04887923,0.04812303
0.14914517,0.019024003
-0.004622571,-0.14054617
-0.10789992,0.014002219
-0.074993305,-0.057152778
-0.012994491,0.06396361
-0.091775835,-0.10644059
-0.33125904,-0.2999504
-0.14008082,-0.03265197
0.12135115,0.25896415
-0.2069839,-0.3115095
0.08538977,-0.05931876
0.21892592,0.2804602
-0.0019054972,0.075408414
0.10034099,-0.00025855005
0.10415457,-0.0370486
-0.014559224,0.06542218
-0.23270184,-0.17206064
-0.07597518,-0.12546349
-0.12087595,0.00062585063
-0.020148873,-0.12741289
0.023677912,-0.02221095
-0.24725989,-0.37884393
0.04792197,0.107078806
