center 1,center 2
0.05273954,0.1545141
-0.0940669,-0.10135245
0.2806243,0.14072506
-0.040749002,0.059614208
0.19387394,0.15346679
-0.07345943,-0.11121613
-0.028133716,-0.005392477
-0.022785785,-0.022302937
-0.047547672,0.012603525
-0.03314274,-0.056382645
-0.08502095,-0.026976828
-0.19744124,-0.20107418
-0.054879997,-0.0027993284
0.36054844,0.29380116
-0.07478677,-0.18298033
0.26591226,0.19722685
-0.010964243,-0.023228748
-0.012975059,-0.021644926
-0.14865308,-0.00191015
0.16906255,0.10527393
0.2728001,0.21421003
-0.043660134,-0.1285585
0.18165848,0.13440773
0.36359003,0.28189033
0.053573586,0.043483347
-0.037264332,0.011357026
0.10446553,0.007555701
0.08911914,0.07911497
-0.061447456,-0.10009564
0.12603006,-0.05392009
0.21783277,0.14692551
0.02015719,0.08534825
-0.01593505,-0.08420772
-0.25216168,-0.1498689
0.10618062,0.091721624
0.051075913,-0.06611813
-0.060088288,-0.01773833
-0.043436024,-0.057469375
-0.013875008,-0.15974599
0.04649557,-0.0087323375
-0.20696612,-0.2606299
-0.41607556,-0.28724614
-0.093390256,0.035530157
0.10760372,0.038947746
-0.017216465,0.041750897
-0.0422045,-0.09177241
-0.112722434,-0.10725307
0.050312236,0.022980506
0.14358273,-0.059588686
-0.07640519,-0.07257143
-0.41835055,-0.2895375
0.20270483,0.14814883
-0.25085023,-0.20306647
0.014467671,0.0698375
0.07668743,0.089010954
0.51706743,0.4678646
0.032760397,0.020947503
-0.38418666,-0.25762916
0.0052912636,0.05891054
-0.106729396,-0.046612166
-0.052533463,-0.027139476
-0.2090122,-0.06655233
0.009401298,-0.0003610612
0.061373055,-0.01863198
-0.051031455,0.108663514
0.010114212,0.0026108758
0.019092731,-0.032869734
0.34110594,0.27944496
-0.48344028,-0.37906837
0.039291997,0.0999186
-0.15772383,-0.19628625
-0.054958045,-0.07219097
0.19322695,0.12120798
0.06433705,0.06733137
0.11951229,0.06144625
-0.08423572,-0.049696445
-0.22550608,-0.22955918
0.094648875,0.13713786
0.22764479,0.16203775
0.12826523,0.037052765
0.14441147,0.08891406
0.066448435,0.15722209
0.058162607,0.061548423
0.31108823,0.33090046
0.14836633,0.13602705
-0.01888057,0.034584034
-0.09363392,-0.13571215
-0.041035336,0.011260204
-0.2768674,-0.116955504
0.32145733,0.37843144
0.014720993,-0.03991957
-0.06194083,-0.070533395
0.056505825,0.08375233
0.083004475,0.123672366
0.011323273,0.09878811
-0.17725384,-0.23106311
-0.2955567,-0.18437812
0.017191663,0.08043755
-0.00026423484,0.20121573
0.22040866,0.115870625
0.16112638,0.18197201
0.0015898836,-0.016505327
0.15471296,0.11098424
0.05460204,0.19607618
-0.28868207,-0.21498163
-0.12566265,-0.12139148
-0.03350103,-0.00802681
-0.01779768,0.04387065
-0.13453038,-0.044300683
0.087501675,-0.051789157
0.107429855,0.15061046
-0.047498405,-0.07243161
0.01858059,0.08542287
-0.20601086,-0.25903976
-0.035951093,-0.22620168
-0.04221184,-0.028503885
0.09469734,0.089477934
0.094728395,0.08868817
0.39746773,0.21879244
0.075164236,0.102655105
0.1328585,0.0026303977
0.19594885,0.18450874
0.057462208,0.060242843
0.5425536,0.59214723
-0.014160673,-0.0135918
0.11387905,0.15470345
-0.09465615,0.0031932816
0.19122723,0.26782075
-0.023953052,0.067221135
0.022079825,-0.05158311
0.064873606,0.04854769
0.34519553,0.31368628
0.17254968,0.1802973
-0.15629031,-0.109023735
-0.101360254,-0.1245755
-0.015692443,0.017731048
-0.19040143,-0.05865583
-0.060737632,-0.07109578
-0.112265445,-0.11286957
-0.028440146,-0.052293286
-0.077267,-0.11691825
-0.039356258,0.0922141
0.11497338,-0.07650333
0.0037761442,-0.02972628
0.08881668,0.09157922
0.1565408,0.119550206
-0.071264945,-0.051408745
0.11086789,0.049921926
0.06573731,0.0709309
0.10699363,0.099590085
-0.09431807,0.09012382
0.018989801,0.04746223
0.009739973,-0.101408854
-0.3103815,-0.21217564
0.07924487,-0.09748471
-0.003077059,0.029993236
0.0684142,0.0787504
0.10431486,0.037426
-0.19641863,-0.08381692
0.14351603,0.13136914
0.18610331,0.24766347
0.02755832,0.034343697
-0.193782,-0.12388207
0.14869012,0.24671051
0.13569587,-0.0067977533
0.13047826,0.050982017
0.0110550355,-0.08114397
0.14750993,0.10934682
-0.14385422,-0.026769355
-0.028303018,0.10791012
-0.11923274,-0.21659216
-0.5230678,-0.38099414
0.21728313,0.2377085
-0.09049134,-0.025898278
-0.025630109,0.0035352
-0.03915344,0.0072038267
0.23431143,0.17478989
0.01245633,0.0934276
0.18175381,0.04238373
0.03328652,-0.008976458
-0.8917421,-1.3960047
0.20415272,0.25192016
0.033832587,0.10382503
-0.11115527,0.08425903
0.19139688,0.17632858
0.08636047,-0.038000748
0.25636193,0.20294711
-0.14760266,-0.24231482
-0.0040627755,0.06944435
-0.16053468,-0.21350662
-0.15725124,-0.13060196
0.062881194,-0.124552175
-0.037175216,-0.13674109
-0.07231729,-0.0055238754
0.1474107,0.21387865
-0.3636048,-0.3699241
0.08600212,0.09242446
-0.23010418,-0.22893403
-0.09562816,-0.055116706
0.15879461,0.061618626
0.09669893,0.09487605
0.0034862813,-0.0032265591
0.16873033,0.081327386
-0.057661198,0.015372351
-0.19648412,-0.26547834
0.3307402,0.41441968
0.3359409,0.2596144
-0.10440898,-0.17895995
-0.07386024,0.05091662
-0.042587377,-0.029229093
-0.20472309,-0.21343967
0.06299105,0.054717362
-0.047175877,-0.003285326
0.049632594,-0.07591346
0.019218296,0.057104856
-0.188954,-0.202535
0.27797395,0.15713045
-0.18631454,-0.18850364
0.25380605,0.1368069
-0.0004198216,-0.078908004
-0.040834833,0.04443995
-0.09742265,-0.057837702
-0.30036893,-0.252093
0.34636074,0.29265964
-0.3712311,-0.31093317
0.68843055,0.4207185
0.20406917,0.22510938
-0.17427404,-0.12176846
0.14107533,0.11380215
0.14597617,0.09050631
-0.10770225,-0.041335896
-0.3058499,-0.19890773
0.13308394,0.21525829
-0.1371619,-0.07740225
-0.084331706,-0.18204358
0.30183464,0.26524934
-0.13996129,-0.10697515
0.010258481,-0.012833411
0.14129515,0.10125834
-0.070549816,-0.11093654
-0.12863249,-0.1171691
0.29347122,0.23162264
0.28501356,0.2917702
-0.0015464388,0.06887927
0.007950161,-0.048116878
-0.2313228,-0.11030172
-0.009592238,0.075726025
0.08245029,0.106319346
0.0871887,0.079551354
-0.12352161,-0.19375876
-0.124558076,-0.12147105
-0.16011637,-0.30689216
0.13675566,0.13561873
-0.21904531,-0.3267476
-0.06424655,0.0053571053
-0.2763587,-0.20810899
0.0044830507,0.012270685
-0.22854842,-0.16882801
-0.0044490155,0.08637923
0.024469439,-0.018031951
0.13621797,0.04932207
-0.10072424,-0.02065907
0.47878915,0.47726345
-0.05673052,-0.045551583
-0.26999342,-0.37632304
-0.36665234,-0.27160603
0.0046240473,-0.0054913787
0.22952075,0.20666052
0.39930266,0.17398943
0.022838028,0.023233244
-0.16637708,-0.05948051
0.2150435,0.111243345
-0.13127404,-0.120066695
0.03799647,-0.2796867
-0.18530816,-0.18304436
-0.21283995,-0.22372298
0.2629722,0.25287867
0.04888943,0.14509109
0.0856348,0.014360432
-0.14453335,-0.17159727
0.17318697,0.06598187
0.24218914,0.2862075
0.042016797,-0.017237619
-0.00034542754,0.0896024
-0.16553713,-0.06585902
0.024996834,-0.05029932
-0.06537788,-0.079744995
0.061393984,0.032668587
-0.086481415,-0.12124398
-0.2916315,-0.38138023
-0.020769576,-0.11237703
0.2705255,0.12046553
-0.31731164,-0.2637801
-0.07774733,0.043173287
0.28906006,0.19981088
0.08296216,0.045133226
0.014842602,0.07070418
-0.04118187,0.02434351
0.06257844,0.06513444
-0.14069062,-0.26651472
-0.12818491,-0.13146122
0.01009848,-0.14415875
-0.16151425,-0.09379551
-0.023403786,0.040800266
-0.40534136,-0.31298622
0.10461156,0.05828024
-0.14416146,-0.06870116
-0.33039725,-0.32742044
-4.275796,-3.8124168
-0.010276262,-0.05129121
-0.17543295,-0.14064787
-0.063470356,-0.06724057
0.31687775,0.34843504
-0.22302586,-0.15992112
0.060427137,0.08824229
0.05148148,-0.023021536
-0.30581897,-0.37146217
0.061881654,0.0038375258
-0.11694371,-0.049145456
0.058949586,-0.008069813
0.17384215,0.25014934
-0.050463326,0.051904656
0.102164134,0.21111402
0.17218314,0.25297296
-0.07240817,0.045519166
-0.23175971,-0.18130906
-0.022231601,-0.04853165
0.24065165,0.23157045
0.055510297,0.05016659
-0.27853292,-0.25593024
0.1632516,0.08922493
-0.16541182,-0.20693575
0.3958899,0.36493486
-0.0840868,-0.028740656
-0.25737038,-0.23355049
0.0890249,0.18926263
-0.204346,-0.29097363
-0.12278964,-0.09323023
-0.082558826,-0.13104315
-0.15352383,-0.22377151
-0.1420299,-0.100307815
0.39463398,0.35604382
0.065164484,0.05003677
-0.3731965,-0.31142524
0.022155507,0.014101708
-0.26863062,-0.07835238
0.009414472,0.20565245
-0.13753535,-0.13658589
0.13781194,0.013814114
-0.25280237,-0.024922997
0.07080654,0.10456009
0.16471109,0.109689415
0.37312675,0.23679972
-0.11225237,-0.07691415
0.004664343,-0.022125779
-0.039516956,-0.2814498
0.06519077,0.035357535
0.06465164,0.16836913
0.106259376,0.1839816
0.009776082,-0.010554664
-0.071373224,0.007798802
-0.20645244,-0.24816714
0.080332026,0.04072237
0.073291875,0.0038082078
0.022056088,0.08557248
0.44918424,0.39716545
-0.14442568,-0.20851645
0.038741298,-0.047835615
0.3165729,0.11499588
-0.026170049,-0.08561746
-0.33572817,-0.29269147
-0.15111184,0.008785769
-0.29044414,-0.21621485
0.01477346,0.024502743
-0.44772264,-0.36828923
-0.2353452,-0.22310862
0.036936536,0.012067862
-0.028447537,0.015246045
-0.28074652,-0.17180485
0.3306721,0.26898193
0.016171014,-0.050801862
-0.59655267,-0.74824023
0.07087734,-0.032159068
-0.23096408,-0.16083398
0.0002819188,0.0039605303
-0.009346945,-0.033770654
0.19021808,0.2037592
0.0852958,0.07504475
-0.30213305,-0.23239894
-0.29218665,-0.2250447
