cluster1,cluster2
0.13000554,0.055602454
-0.12513669,-0.09466823
0.14979506,0.27863118
0.052880622,-0.039919622
0.16598058,0.19277728
-0.12239654,-0.0734942
-0.00773271,-0.027658794
-0.010228314,-0.023761056
0.019856054,-0.046020478
-0.060564645,-0.03302371
-0.048860185,-0.084081836
-0.17994775,-0.19817582
-0.039825533,-0.0529766
0.2556036,0.36171594
-0.17961112,-0.076747224
0.19115044,0.26474136
-0.03622173,-0.0094280485
0.008578211,-0.013351084
-0.0048328713,-0.14653458
0.08012009,0.16985692
0.2317407,0.27154428
-0.11266803,-0.044319823
0.10986421,0.18222831
0.257021,0.36528543
0.047670458,0.053339098
0.0036635138,-0.03743613
-0.005428672,0.104847655
0.07086784,0.08971537
-0.1139165,-0.061700553
-0.05712214,0.12339814
0.1438021,0.21758857
0.080489725,0.023020227
-0.098352775,-0.017179424
-0.19837146,-0.25058192
0.05692161,0.10858689
-0.050520867,0.050096046
-0.028563855,-0.0595399
-0.003187444,-0.0446745
-0.13386054,-0.016227972
0.005289899,0.045290537
-0.25934416,-0.20920455
-0.28128093,-0.41504607
0.02242256,-0.09127995
0.06022478,0.10647129
0.026650626,-0.017103557
-0.086000524,-0.042289495
-0.14992432,-0.11043836
0.043350887,0.049004078
-0.067051254,0.14239714
-0.091536626,-0.07729765
-0.3054586,-0.41673622
0.16487125,0.20005915
-0.18550256,-0.2506472
0.07820168,0.01468483
0.097753964,0.07716229
0.44417357,0.517956
0.066958204,0.030098539
-0.26988283,-0.38281414
0.059636716,0.0054025
-0.048260357,-0.105472416
-0.020845642,-0.05373535
-0.07625002,-0.20843542
-0.012967392,0.008765011
-0.02658736,0.06009253
0.110545784,-0.048704166
-0.0067547355,0.010474468
-0.053344086,0.01796667
0.28557318,0.33936158
-0.3905523,-0.48290446
0.10230386,0.04086435
-0.14294378,-0.15967353
-0.05739371,-0.055705145
0.10397677,0.1927791
0.060144767,0.0650642
0.060874347,0.11790658
-0.048849035,-0.08269098
-0.23027392,-0.22705202
0.16615257,0.09441051
0.16711739,0.22630648
0.05077745,0.1275038
0.09075692,0.14427719
0.1546633,0.06807199
0.060446408,0.05888343
0.33823627,0.31261238
0.1395471,0.14847192
0.01128979,-0.017089166
-0.11555606,-0.09426339
0.02816486,-0.039396867
-0.11102674,-0.27503505
0.350193,0.32269686
-0.030049723,0.012769548
-0.08211885,-0.06171073
0.07954141,0.056633785
0.111571275,0.084817715
0.15929422,0.012117293
-0.20261663,-0.17925483
-0.20649433,-0.29283145
0.05539076,0.018467939
0.145423,0.003520131
0.12972908,0.21913001
0.14067459,0.16356708
-0.05198562,0.0018658713
0.08990723,0.15553738
0.21326917,0.056177597
-0.20033282,-0.2879717
-0.109810345,-0.12560901
-0.020633828,-0.033217426
0.018720184,-0.018143022
-0.06064813,-0.13467596
-0.048192717,0.086874425
0.17803986,0.108305894
-0.04559562,-0.049626432
0.109708816,0.019861422
-0.24963388,-0.2090913
-0.21194524,-0.040002346
-0.025075646,-0.04289723
0.055720378,0.0944958
0.07505203,0.095311016
0.25121668,0.39674583
0.08263229,0.07790523
0.0071224123,0.1328507
0.22283383,0.19573638
0.093213744,0.056754358
0.5919615,0.5443741
-0.031014707,-0.013171384
0.14712816,0.114912994
0.043253046,-0.093092546
0.2571833,0.1948571
0.08881696,-0.02348778
-0.05801569,0.021365535
0.053641714,0.06504783
0.3107644,0.34613085
0.20596647,0.1733651
-0.09152405,-0.15712504
-0.09134774,-0.10193667
0.00952066,-0.015733296
-0.03978177,-0.19022228
-0.065549456,-0.06136723
-0.13400687,-0.11198097
-0.070005186,-0.028057884
-0.08571916,-0.07793432
0.12386486,-0.038799983
-0.074612625,0.11422533
-0.024429485,0.0042873253
0.07325934,0.08880353
0.12605056,0.15594289
-0.042839475,-0.072628126
0.024618156,0.110447675
0.072742485,0.06643313
0.10211106,0.10647396
0.07976862,-0.0933823
0.061722435,0.017869797
-0.10055432,0.00845531
-0.22651145,-0.309234
-0.08438461,0.07802222
0.029041898,-0.0037222365
0.088796556,0.06923716
0.04256208,0.10291343
-0.07157486,-0.19520682
0.1302525,0.14306976
0.2530899,0.18598285
0.055626214,0.02667109
-0.13210368,-0.19372529
0.193385,0.15183012
-0.0061762556,0.1347674
0.0345034,0.13024159
-0.06974338,0.0094563095
0.1397287,0.14752397
0.01042258,-0.14288828
0.12900496,-0.025870804
-0.19358326,-0.12078601
-0.38534108,-0.5225861
0.2300117,0.21671031
-0.020785827,-0.09074649
0.027826745,-0.024871122
0.01724817,-0.039482087
0.19158305,0.23348235
0.09034297,0.013254816
0.03223311,0.18145613
-0.0024124924,0.033179276
-1.4312522,-0.89680755
0.22805539,0.20658337
0.08531295,0.0353817
0.017605402,-0.10807972
0.18013193,0.19160469
-0.03304349,0.08557083
0.24103242,0.25495726
-0.22800443,-0.1489912
0.09570998,-0.0028677117
-0.20409867,-0.1629497
-0.13740346,-0.15687111
-0.12084618,0.0616443
-0.15887398,-0.03789722
0.011436358,-0.07224752
0.24643669,0.14783928
-0.34320325,-0.36521807
0.06787887,0.08788465
-0.21430302,-0.2313889
-0.035047784,-0.09566792
0.052330226,0.1577312
0.08740383,0.09743969
-0.003504295,0.0039564394
0.086379185,0.16760638
-0.0062719993,-0.056658354
-0.26928008,-0.19716704
0.38536164,0.33224523
0.21428588,0.33802673
-0.17807825,-0.10609617
-0.0118787475,-0.07066625
-0.030354766,-0.042915598
-0.21973242,-0.20387661
0.10419885,0.061966512
-0.04347985,-0.04507474
-0.092192024,0.04820862
0.05369187,0.018753935
-0.19028158,-0.18965
0.16336302,0.27711284
-0.19333522,-0.18594193
0.12225022,0.25453177
-0.08690353,-0.0010457095
0.035731237,-0.038873345
-0.08165693,-0.096961424
-0.23338881,-0.30141547
0.2988024,0.34632668
-0.30556762,-0.37038144
0.43785626,0.6853597
0.2317963,0.2055259
-0.10838598,-0.17517166
0.1705851,0.13860306
0.10247959,0.1464709
-0.045738343,-0.10669768
-0.22434902,-0.3050604
0.18449453,0.13487151
-0.07356043,-0.13740359
-0.17908818,-0.08563018
0.21261561,0.3027838
-0.0868562,-0.14007777
-0.016616521,0.0107036065
0.09767914,0.14166844
-0.089177586,-0.071511574
-0.11908824,-0.12770751
0.23059121,0.29282343
0.2785409,0.28451923
0.032244943,0.0007721074
-0.048759513,0.0067909164
-0.13946143,-0.23012634
0.076887354,-0.008388013
0.117751956,0.08228827
0.10386309,0.08651479
-0.18551734,-0.12491064
-0.093342215,-0.125025
-0.2825452,-0.16219497
0.114845194,0.1375356
-0.33294553,-0.22024137
0.023721263,-0.0641599
-0.1839759,-0.27595058
0.03384648,0.0033436185
-0.14491117,-0.22931726
0.068033695,-0.0025877096
0.030048732,0.02335282
0.06338662,0.13446519
0.017096408,-0.102017075
0.4837755,0.47970408
-0.02769489,-0.056506462
-0.34680495,-0.27264974
-0.31281972,-0.3642311
0.0025631438,0.005159617
0.20111595,0.22932778
0.20573056,0.39589077
0.017075304,0.022677254
-0.05793997,-0.16516528
0.08796175,0.21628246
-0.10930004,-0.1313772
-0.29139718,0.034680083
-0.18509458,-0.18421134
-0.25554368,-0.21259256
0.26144788,0.26106483
0.14720255,0.050233085
0.028998155,0.08370819
-0.18029305,-0.14572099
0.06092646,0.17276853
0.28026846,0.24363917
-0.03866083,0.040670857
0.11550864,-0.00013904274
-0.07010739,-0.16448416
-0.061380893,0.0249318
-0.074399516,-0.06688481
0.035877217,0.06303225
-0.12067248,-0.08694211
-0.34911343,-0.29504153
-0.09820277,-0.0223843
0.1303468,0.2668047
-0.26024225,-0.31775492
0.026783954,-0.07646395
0.20472842,0.2866032
0.055767998,0.08227414
0.056522407,0.015977649
0.027276708,-0.04168898
0.01213957,0.06384677
-0.23458654,-0.14416371
-0.13406868,-0.12749282
-0.124625966,0.0068203956
-0.06766591,-0.16158357
0.030604884,-0.022265924
-0.3402311,-0.40392357
0.06429913,0.10433068
-0.09173099,-0.14312659
-0.32678106,-0.33104244
-3.797279,-4.2708626
-0.0631756,-0.010357231
-0.12104058,-0.17509043
-0.07875611,-0.061822087
0.3425505,0.3191025
-0.16498376,-0.22143345
0.09229289,0.061404742
-0.043264814,0.050390795
-0.3369938,-0.30902267
0.03563985,0.060914483
-0.08045924,-0.11620804
-0.006233953,0.059803333
0.20745337,0.17483838
0.08253129,-0.04893134
0.19279274,0.10372507
0.2402325,0.17360795
0.0019017756,-0.07077383
-0.14117599,-0.2327993
-0.056175485,-0.021059513
0.21403511,0.24103644
0.032688975,0.056083847
-0.23159032,-0.27868903
0.11626363,0.15966156
-0.2136799,-0.16646531
0.30289924,0.3985118
-0.0616487,-0.08535222
-0.24194953,-0.257905
0.19071889,0.092050724
-0.2616429,-0.20689249
-0.13610604,-0.12088358
-0.12415163,-0.0845361
-0.20512822,-0.15680715
-0.09648715,-0.14256129
0.36502984,0.39585367
0.03202197,0.06498392
-0.3042413,-0.37418234
0.027142715,0.021396723
-0.05934739,-0.26701486
0.1845859,0.01352546
-0.15561174,-0.13696593
0.0206915,0.13536537
-0.0051260293,-0.25056672
0.090112776,0.0716852
0.07215398,0.16659558
0.24650796,0.3706127
-0.082884446,-0.11177173
-0.016663592,0.0044629606
-0.2511257,-0.043869615
0.050607406,0.06563631
0.17677733,0.06596241
0.16647846,0.108662084
-0.04125902,0.010567629
-0.026598131,-0.07048803
-0.23052265,-0.2073238
0.025972605,0.08066826
-0.050497644,0.075000435
0.06280775,0.023249887
0.371448,0.45045796
-0.21284023,-0.14498965
-0.0335202,0.038929228
0.14460209,0.31297967
-0.09716713,-0.025782654
-0.26452544,-0.3379249
-0.023220114,-0.1492897
-0.19258624,-0.29064736
0.037409306,0.015693756
-0.33681554,-0.4492008
-0.24595241,-0.23631354
-0.007459851,0.037543308
