cluster1,cluster2
0.13651954,0.060069308
-0.12826668,-0.09635122
0.13165677,0.2730648
0.046036404,-0.029615734
0.15866932,0.19273828
-0.11971605,-0.07863115
0.0028252527,-0.029248938
0.0017707963,-0.026367616
0.022663463,-0.04112967
-0.07082233,-0.03219644
-0.044038195,-0.08251684
-0.15780151,-0.20357862
-0.044014692,-0.050498616
0.23267692,0.35965663
-0.18088385,-0.085367605
0.1898197,0.258707
-0.053884573,-0.006194045
0.017297056,-0.014184067
0.007440053,-0.13798536
0.049651414,0.17161848
0.2335078,0.2674942
-0.122206524,-0.047299344
0.096617445,0.1800689
0.21673022,0.36852714
0.043961875,0.054014366
0.019772671,-0.038924083
-0.025948308,0.101662114
0.061930437,0.09088779
-0.11962751,-0.06447515
-0.077444196,0.113988645
0.14038613,0.21219635
0.06529142,0.03286624
-0.10012261,-0.023740035
-0.20054016,-0.24531658
0.005213566,0.120402925
-0.0688248,0.047057305
-0.026979465,-0.05732374
0.022188578,-0.049058236
-0.13168472,-0.027234066
0.003961157,0.042201962
-0.23625997,-0.2209008
-0.25466198,-0.41172856
0.021483865,-0.0810097
0.07132651,0.09890486
0.026105765,-0.013093382
-0.09698255,-0.042651564
-0.19133481,-0.100809686
0.0642618,0.041897073
-0.08782578,0.13059326
-0.0770378,-0.08313054
-0.294121,-0.41055986
0.17845464,0.19267814
-0.17358069,-0.24870217
0.08816314,0.017106866
0.094194494,0.080093846
0.41084278,0.5220219
0.09632602,0.024046862
-0.2608536,-0.37576285
0.07195825,0.006264122
-0.056138776,-0.097963236
-0.0021514595,-0.0567607
-0.05102148,-0.20481691
-0.004111787,0.00405897
-0.022107668,0.051073074
0.10936909,-0.034363486
0.0023666928,0.0060794023
-0.06372275,0.0149929
0.28655016,0.3343346
-0.386303,-0.47614717
0.097049266,0.047914818
-0.11619599,-0.16666257
-0.05543127,-0.0564737
0.11259958,0.18226355
0.052099362,0.067176305
0.06840809,0.1105221
-0.053022854,-0.07840293
-0.23224539,-0.22671133
0.19063592,0.09296282
0.17472613,0.21870914
0.04821248,0.121584624
0.09526235,0.1381582
0.1521452,0.076463506
0.06740846,0.056819424
0.32135272,0.32019782
0.14489321,0.14599887
0.006836132,-0.013191825
-0.110668786,-0.09767625
0.03167233,-0.034579545
-0.08686614,-0.26828757
0.33807153,0.328941
-0.006052211,0.0014266467
-0.07517117,-0.0656974
0.07904889,0.05879885
0.09912234,0.091100246
0.17546844,0.01991345
-0.17623699,-0.18964413
-0.21448465,-0.28273213
0.042575344,0.025758352
0.12648034,0.021956151
0.12435761,0.21298635
0.11907111,0.16838916
-0.058063354,-0.0009362288
0.06795717,0.15672028
0.22494638,0.06626508
-0.18549152,-0.2849766
-0.10017692,-0.12726891
-0.0151435165,-0.03384945
0.015264498,-0.01381701
-0.057297714,-0.12924182
-0.07695245,0.084119536
0.18610957,0.111871354
-0.02531941,-0.055683337
0.12527846,0.022819994
-0.2293945,-0.21904637
-0.20050825,-0.058700275
-0.022022327,-0.042299323
0.05695492,0.09070429
0.072388716,0.094376005
0.22303279,0.3928911
0.06378364,0.08427901
-0.0225553,0.1312052
0.21841113,0.1995115
0.11204641,0.053998318
0.580765,0.55208814
-0.041978136,-0.011270344
0.14810252,0.11743071
0.042461902,-0.080882765
0.22288099,0.21116903
0.105583265,-0.018937673
-0.0734042,0.019267723
0.04135756,0.06793106
0.30216897,0.34574616
0.20635952,0.17610048
-0.05906363,-0.16163342
-0.08107354,-0.10425612
0.0058163116,-0.01234697
-0.025708847,-0.18147554
-0.05493069,-0.065091275
-0.13477048,-0.11367157
-0.08973285,-0.02550026
-0.08159216,-0.07992195
0.15841685,-0.03545558
-0.12423791,0.113350704
-0.04762902,0.009103117
0.071182005,0.08809683
0.123978324,0.15397598
-0.010867137,-0.08012348
0.0074845776,0.108336024
0.07713534,0.06559773
0.1002361,0.106684044
0.09913407,-0.08431683
0.07357207,0.017970009
-0.11107789,0.002220545
-0.23015371,-0.3008264
-0.092261106,0.06626679
0.037185013,-0.003422807
0.085611045,0.07195994
0.04511809,0.096811585
-0.057237536,-0.18889523
0.13497998,0.14045087
0.2596671,0.18978977
0.086107135,0.019574126
-0.11715681,-0.19304568
0.17762737,0.160457
-0.029832967,0.12988365
0.017209142,0.12731156
-0.0860178,0.007654502
0.14311077,0.14577094
0.031527802,-0.13611308
0.13790274,-0.015098862
-0.19899136,-0.12546165
-0.3648588,-0.5170232
0.22816128,0.21846206
-0.015977718,-0.08612995
0.042795546,-0.02498119
0.04394545,-0.042946495
0.19106834,0.22996986
0.09337799,0.019057076
0.0015725493,0.17806055
-0.011582842,0.032956604
-1.5168407,-0.91662717
0.21150133,0.21370047
0.086282745,0.039454855
-0.005354151,-0.08979631
0.18387234,0.1894158
-0.045561954,0.0791243
0.24730217,0.2517536
-0.22575419,-0.15663329
0.11045487,0.0011173841
-0.1845918,-0.17272633
-0.124455884,-0.15925698
-0.13500915,0.050114796
-0.17436117,-0.043612376
0.019065328,-0.06731905
0.2553446,0.15367155
-0.3172565,-0.37149027
0.053255886,0.09075299
-0.18809336,-0.23817655
-0.022839356,-0.0942104
0.040782914,0.15213665
0.06466266,0.103749186
-0.0072278343,0.004479235
0.08770655,0.16006185
-0.0060068704,-0.05232252
-0.27395937,-0.2020131
0.4087774,0.3295013
0.1866394,0.3359133
-0.17891239,-0.11214638
-0.03597576,-0.057891227
-0.015239831,-0.046592504
-0.22583406,-0.20333834
0.12896055,0.057842366
-0.063271634,-0.038677525
-0.12178648,0.04524978
0.06486023,0.018287592
-0.18470553,-0.19146831
0.17866758,0.26229656
-0.20261788,-0.18365566
0.0764721,0.25740173
-0.0847484,-0.009258097
0.03596379,-0.032402888
-0.08738404,-0.09380832
-0.21211372,-0.30217475
0.2952482,0.34328172
-0.30302364,-0.36550057
0.4007396,0.6753845
0.22469108,0.21007662
-0.07533064,-0.17976421
0.19670533,0.13315028
0.066445984,0.15400448
-0.040484652,-0.103011586
-0.21734086,-0.30019644
0.18512763,0.13902406
-0.047874115,-0.13992445
-0.16860335,-0.09714277
0.18371776,0.3040109
-0.07879257,-0.13795877
-0.018924389,0.009036843
0.082436025,0.14262909
-0.091501854,-0.07232633
-0.10916806,-0.1300878
0.20296238,0.29609975
0.2794725,0.2837003
0.019791,0.0074701635
-0.06025718,0.005553363
-0.12653825,-0.22625934
0.08362435,-0.0030379687
0.13620475,0.07956501
0.10850102,0.086570196
-0.17379057,-0.1339343
-0.07891326,-0.12680773
-0.28974888,-0.17047405
0.10274641,0.1393704
-0.33144307,-0.2306023
0.04563685,-0.06338011
-0.16955382,-0.2724426
0.054948114,-0.0006522378
-0.12037103,-0.22967209
0.07181447,0.0024115406
0.040157866,0.020744082
0.07097306,0.12583195
0.05021625,-0.10204011
0.4860355,0.4793467
-0.018952746,-0.056743123
-0.3330953,-0.2834887
-0.29991212,-0.36380234
0.006396576,0.0037199012
0.18942828,0.23054829
0.20951036,0.3780158
0.022962129,0.020324718
-0.06738588,-0.15277356
0.06851293,0.21117567
-0.09768181,-0.13311388
-0.3412879,0.021851294
-0.19236599,-0.18198991
-0.26965922,-0.2118973
0.28077158,0.2549891
0.13918272,0.06127434
0.040077038,0.075406566
-0.17861278,-0.14928475
0.026956335,0.17369819
0.25551453,0.25467828
-0.030249977,0.031053098
0.13526805,0.0037579834
-0.050915897,-0.16227335
-0.071689054,0.02061982
-0.077203736,-0.06665739
0.023268208,0.064636745
-0.10561602,-0.094661
-0.3178833,-0.3096581
-0.09497318,-0.03005584
0.14976043,0.24869747
-0.23980728,-0.31917083
0.030518536,-0.06858821
0.2161319,0.27581626
0.049257383,0.08200751
0.04518034,0.02311992
0.044313956,-0.041026063
-0.026158072,0.07141933
-0.21748817,-0.15750098
-0.115198106,-0.1340357
-0.093167946,-0.014655214
-0.03935507,-0.16229622
0.021290913,-0.014683659
-0.33023047,-0.4014985
0.069432296,0.0991964
-0.09387106,-0.1379418
-0.31896058,-0.33314115
-3.7289813,-4.2509146
-0.08066677,-0.009460263
-0.11674571,-0.17170726
-0.09767659,-0.05732561
0.32283846,0.32739136
-0.16959506,-0.21502401
0.09780913,0.062370118
-0.05982553,0.047411535
-0.30751887,-0.3207949
0.039877705,0.057357658
-0.08041502,-0.11308628
-0.018735737,0.057963386
0.19321465,0.18220091
0.08835081,-0.03923987
0.18700686,0.11336695
0.24668652,0.17741147
-0.017401736,-0.058296133
-0.11642852,-0.23258659
-0.06611509,-0.020997267
0.20343475,0.24201939
0.008441579,0.06169774
-0.2095758,-0.28151777
0.1528469,0.14428882
-0.20596011,-0.17304744
0.255699,0.40504774
-0.06797096,-0.08127422
-0.25904483,-0.25110066
0.18153182,0.103609994
-0.24938093,-0.21557166
-0.14861682,-0.11826346
-0.12631418,-0.08732731
-0.18179029,-0.16842413
-0.09024984,-0.14049184
0.33864307,0.40149227
0.023209684,0.064878695
-0.28290308,-0.37479365
0.027363192,0.021831036
-0.04027307,-0.25482956
0.18883778,0.027185906
-0.16252676,-0.13641524
0.014277451,0.1273345
0.020006716,-0.2369837
0.087465435,0.07413856
0.036494493,0.16958554
0.2323442,0.3642048
-0.08093512,-0.10985417
-0.006790091,-0.00051174546
-0.25510547,-0.060790997
0.042944036,0.06674087
0.18718176,0.07239319
0.15281816,0.11805228
-0.06275441,0.012817562
-0.024964586,-0.06715466
-0.21598253,-0.21395566
0.0065201633,0.082020625
-0.089312196,0.07626383
0.04954128,0.030914033
0.32621825,0.45782727
-0.22435571,-0.1473005
-0.03815428,0.034039363
0.1634771,0.29224294
-0.118177205,-0.025401706
-0.22175327,-0.3450093
-0.002388157,-0.14481762
-0.19393507,-0.28161946
0.023395788,0.022029033
-0.29223105,-0.45343858
-0.23012154,-0.24216406
-0.021794831,0.038127936
0.04541351,-0.027164886
-0.16007549,-0.27553302
0.14169091,0.34028232
-0.062009506,0.010186898
-0.76053715,-0.6106534
-0.017817054,0.06777974
-0.15746744,-0.23125748
-0.0038763997,0.00848356
-0.03074633,-0.015041655
0.19664039,0.19183126
0.070633315,0.08322825
-0.23029537,-0.30217358
-0.22629355,-0.29100877
0.1491842,0.082485095
0.161131,0.06851019
-0.063748814,-0.03031934
-0.056511853,-0.08743216
-0.056885883,0.0178053
-0.20233709,-0.110564254
-0.06671719,0.03459038
-0.07197926,0.0154367015
0.20624864,0.23299688
-0.010419244,-0.020078357
0.17679308,0.1640722
-0.018442012,0.037131336
